,uriOrg,labelOrg,typesOrg,orgMainType,tot_members_number
2239,http://www.wikidata.org/entity/Q81087,"University College, Oxford",building complex | college of the university of oxford,university,3
381,http://www.wikidata.org/entity/Q131454,Library of Congress,legislative branch agency | national library | parliamentary archives | united nations depository library,not classified organisation,3
1261,http://www.wikidata.org/entity/Q2985295,Q2985295,institution,not classified organisation,3
1335,http://www.wikidata.org/entity/Q317032,University of Düsseldorf,comprehensive university | public university,public university,3
921,http://www.wikidata.org/entity/Q21578,Princeton University,academic publisher | colonial colleges | private not-for-profit educational institution | private university | research university,private university,3
1109,http://www.wikidata.org/entity/Q27940884,Historical Association for Warmia,editor | historical society,learned society,3
1108,http://www.wikidata.org/entity/Q27923720,Imperial Moscow University,imperial university of the russian empire,university,3
1836,http://www.wikidata.org/entity/Q543289,Salesian Pontifical University,pontifical university | seminary,university,3
2285,http://www.wikidata.org/entity/Q838330,University of Wisconsin–Madison,land-grant university | public educational institution of the united states | public research university,university,3
107,http://www.wikidata.org/entity/Q1122926,University of Lisbon,open-access publisher | public research university,university,3
1866,http://www.wikidata.org/entity/Q56642162,Société des archives historiques de la Saintonge et de l'Aunis,learned society,learned society,3
2317,http://www.wikidata.org/entity/Q872181,scouting,social movement,not classified organisation,3
455,http://www.wikidata.org/entity/Q14271902,Belarusian Petrus Brouka Encyclopedia,publishing company,company or gov. agency,3
2303,http://www.wikidata.org/entity/Q85785367,Midwest Archives Conference,professional association,not classified organisation,3
