,personUri,personLabel,birthYear,gender,countries,continents,fields
4299,http://www.wikidata.org/entity/Q359660,Albert Villaró,1964,male,Andorra,Europe,"opinion journalism, creative and professional writing, archival science"
4300,http://www.wikidata.org/entity/Q125425088,José S. Arcilla,1927,male,Philippines,Asia,
4301,http://www.wikidata.org/entity/Q41661505,Emmanuelle Giry,1988,female,France,Europe,
4302,http://www.wikidata.org/entity/Q61476198,Francesco Saverio Gatta,1889,male,"Italy, Kingdom of Italy",Europe,
4303,http://www.wikidata.org/entity/Q3350286,Oleg Khlevniuk,1959,male,"Russia, Soviet Union","Europe, Asia",history of the Soviet Union
4304,http://www.wikidata.org/entity/Q112422115,Dorota Lábusová,1952,female,Czech Republic,Europe,
4305,http://www.wikidata.org/entity/Q26820834,Friedrich Walter,1896,male,Austria,Europe,"administrative history, history, auxiliary science of history, constitutional history"
4306,http://www.wikidata.org/entity/Q12792604,Joka Žigon,1899,male,"Socialist Federal Republic of Yugoslavia, Kingdom of Yugoslavia, Austria–Hungary",Europe,
4307,http://www.wikidata.org/entity/Q115270976,Alain Levy,1938,male,France,Europe,
4308,http://www.wikidata.org/entity/Q95079895,Jan Kabašta,1905,male,Czechoslovakia,Europe,
4309,http://www.wikidata.org/entity/Q6830872,Michael H. Nash,1946,male,United States,North America,
4310,http://www.wikidata.org/entity/Q61946639,Philippe Künzler,1969,male,Switzerland,Europe,
4311,http://www.wikidata.org/entity/Q37919334,Viktor Kleiner,1875,male,Austria,Europe,
4312,http://www.wikidata.org/entity/Q58685538,Salvina Bosco,1959,female,Italy,Europe,
4313,http://www.wikidata.org/entity/Q5770820,Otto Greiffenhagen,1871,male,Russian Empire,North America,
4314,http://www.wikidata.org/entity/Q20101008,Lurdes Boix Llonch,1957,female,Spain,Europe,
4315,http://www.wikidata.org/entity/Q24631942,Dinos Conomos,1918,male,Greece,Europe,
4316,http://www.wikidata.org/entity/Q111956017,August Flament,1856,male,Kingdom of the Netherlands,Europe,
4317,http://www.wikidata.org/entity/Q22114960,Stanisław Fuks,1922,male,"Second Polish Republic, Polish People's Republic",Europe,archivist
4318,http://www.wikidata.org/entity/Q30346353,Aleksandra Andrejevna Demskaja,1917,female,Russia,Europe,"museology, archival science"
4319,http://www.wikidata.org/entity/Q35018284,Armand Boutillier du Retail,1882,male,France,Europe,
4320,http://www.wikidata.org/entity/Q112393360,Helge Kleifeld,1971,male,Germany,Europe,
4321,http://www.wikidata.org/entity/Q5342156,Edward C. Papenfuse,1943,male,United States,North America,"geographic information system, crowdsourcing, land patent, digital preservation, history of Maryland, public records, open access, archive, map, web design, database"
4322,http://www.wikidata.org/entity/Q28722110,András Koltai,1970,male,Hungary,Europe,"history of Hungary, church history"
4323,http://www.wikidata.org/entity/Q18911516,Robert Lockhart Hobson,1872,male,"United Kingdom, United Kingdom of Great Britain and Ireland",Europe,
4324,http://www.wikidata.org/entity/Q111589350,Gabriella Guandalini,1919,female,"Kingdom of Italy, Italy",Europe,"palaeography, Mannerism, woven fabric, period instrument, art history, art of painting, archival science"
4325,http://www.wikidata.org/entity/Q55455525,Alfio Rosario Natale,1912,male,"Italy, Kingdom of Italy",Europe,
4326,http://www.wikidata.org/entity/Q95152706,Karel Dolista,1959,male,Czechoslovakia,Europe,"translation from German, anthroposophy"
4327,http://www.wikidata.org/entity/Q113838405,Claudia Kauertz,1967,female,Germany,Europe,
4328,http://www.wikidata.org/entity/Q5588604,Henry Bruun,1903,male,Kingdom of Denmark,Europe,
4329,http://www.wikidata.org/entity/Q5940300,José Gómez-Centurión,1854,male,Spain,Europe,
4330,http://www.wikidata.org/entity/Q1276456,Ernst Pitz,1928,male,Germany,Europe,"history, Middle Ages, medieval studies"
4331,http://www.wikidata.org/entity/Q16038597,Raphaële Mouren,1966,female,France,Europe,"archival science, history, library science, Greek philology"
4332,http://www.wikidata.org/entity/Q1336797,Emil Schaus,1869,male,German Reich,Europe,
4333,http://www.wikidata.org/entity/Q16453239,Janusz Iwaszkiewicz,1879,male,Poland,Europe,"archival science, history"
4334,http://www.wikidata.org/entity/Q11983276,Lars Hamre,1912,male,Norway,Europe,
4335,http://www.wikidata.org/entity/Q105018311,Silvio Quílez,1862,male,Spain,Europe,
4336,http://www.wikidata.org/entity/Q131195178,Mitja Petaros,1967,male,Italy,Europe,
4337,http://www.wikidata.org/entity/Q4977559,Bruce Goldstein,1952,male,United States,North America,
4338,http://www.wikidata.org/entity/Q1873427,Lucien Sittler,1905,male,"German Reich, France",Europe,
4339,http://www.wikidata.org/entity/Q18844125,Ludwig Schmitz-Kallenberg,1867,male,Kingdom of Prussia,Europe,
4340,http://www.wikidata.org/entity/Q1903120,Marthe Gosteli,1917,female,Switzerland,Europe,feminist movement
4341,http://www.wikidata.org/entity/Q21033738,Peter Kuhlbrodt,1941,male,Germany,Europe,
4342,http://www.wikidata.org/entity/Q793591,Jenő Berlász,1911,male,Hungary,Europe,"archival science, history, library science"
4343,http://www.wikidata.org/entity/Q15079371,Andrey Serkov,1964,male,"Russia, Soviet Union","Europe, Asia","history of literature, cultural history, Freemason, history, archival science, history of Freemasonry"
4344,http://www.wikidata.org/entity/Q94442,Wendelin Schmidt-Dengler,1942,male,Austria,Europe,German studies
4345,http://www.wikidata.org/entity/Q58540602,József Hárs,1925,male,Hungary,Europe,
4346,http://www.wikidata.org/entity/Q21288222,Leon Popek,1958,male,Poland,Europe,
4347,http://www.wikidata.org/entity/Q95463726,Helena Sýkorová,1938,female,Czechoslovakia,Europe,archival science
4348,http://www.wikidata.org/entity/Q124124079,Epp Siimo,1904,female,Estonia,Europe,
4349,http://www.wikidata.org/entity/Q110225244,Fritz Eheim,1923,male,Austria,Europe,"regional history, archival science, history"
4350,http://www.wikidata.org/entity/Q12022473,Jan Dokulil,1910,male,Czechoslovakia,Europe,
4351,http://www.wikidata.org/entity/Q517743,André Chamson,1900,male,France,Europe,"literature, archival science, museology, prose"
4352,http://www.wikidata.org/entity/Q15445130,Henning Steinführer,1970,male,Germany,Europe,
4353,http://www.wikidata.org/entity/Q124708497,Umberto Giampaoli,1872,male,Kingdom of Italy,Europe,
4354,http://www.wikidata.org/entity/Q11899837,Vilém Nikodém,1852,male,"Czechoslovakia, Austria–Hungary",Europe,
4355,http://www.wikidata.org/entity/Q95174936,Ivo Holl,1915,male,Czechoslovakia,Europe,
4356,http://www.wikidata.org/entity/Q5026623,Camille Billops,1933,female,United States,North America,
4357,http://www.wikidata.org/entity/Q56421733,Anke Voss-Hubbard,1960,female,United States,North America,"library science, feminism"
4358,http://www.wikidata.org/entity/Q104602734,Consuelo del Castillo Bravo,1907,female,Spain,Europe,
4359,http://www.wikidata.org/entity/Q13049565,María Pilar Loscertales Baylín,1910,female,Spain,Europe,
4360,http://www.wikidata.org/entity/Q93241349,Emanuele Boaga,1934,male,"Italy, Kingdom of Italy",Europe,
4361,http://www.wikidata.org/entity/Q110291,Erich Gritzner,1874,male,Germany,Europe,
4362,http://www.wikidata.org/entity/Q16013183,Edwin Adams Davis,1904,male,United States,North America,
4363,http://www.wikidata.org/entity/Q3484628,Simone de Saint-Exupéry,1898,female,France,Europe,
