uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,employment,http://www.wikidata.org/entity/Q1236345,University of Murcia,2,open-access publisher | public university,1881-1910,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,membership,http://www.wikidata.org/entity/Q29790141,Secció Històrico-Arqueològica de l’Institut d’Estudis Catalans,1,medical check-up,1881-1910,['medical check-up']
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,membership,http://www.wikidata.org/entity/Q35854422,"Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos",2,corporation | organization,1881-1910,"['corporation', 'organization']"
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,education,http://www.wikidata.org/entity/Q219615,University of Barcelona,4,educational organization | open-access publisher | public university | publishing company,1881-1910,"['educational organization', 'open-access publisher', 'public university', 'publishing company']"
http://www.wikidata.org/entity/Q11921859,Ferran Valls i Taberner,1888,education,http://www.wikidata.org/entity/Q273570,École des chartes,2,grand établissement | grande école,1881-1910,"['grand établissement', 'grande école']"
http://www.wikidata.org/entity/Q11922674,Valentí Serra de Manresa,1959,education,http://www.wikidata.org/entity/Q219615,University of Barcelona,4,educational organization | open-access publisher | public university | publishing company,1941-1970,"['educational organization', 'open-access publisher', 'public university', 'publishing company']"
http://www.wikidata.org/entity/Q11923040,Frederic-Pau Verrié i Faget,1920,education,http://www.wikidata.org/entity/Q219615,University of Barcelona,4,educational organization | open-access publisher | public university | publishing company,1911-1940,"['educational organization', 'open-access publisher', 'public university', 'publishing company']"
http://www.wikidata.org/entity/Q11923040,Frederic-Pau Verrié i Faget,1920,education,http://www.wikidata.org/entity/Q3732859,Massana School,2,cultural institution | educational institution,1911-1940,"['cultural institution', 'educational institution']"
http://www.wikidata.org/entity/Q11923040,Frederic-Pau Verrié i Faget,1920,membership,http://www.wikidata.org/entity/Q167273,Reial Acadèmia Catalana de Belles Arts de Sant Jordi,3,art academy | college of music | national academy,1911-1940,"['art academy', 'college of music', 'national academy']"
http://www.wikidata.org/entity/Q119266840,Carl-Friedrich Baumann,1927,employment,http://www.wikidata.org/entity/Q7799836,Thyssen AG,1,business,1911-1940,['business']
